model,variant,target,r2,mae,rmse
RGB_X/absolute30/all,main,ball.location.x,0.21148061353412073,1687.9487135809118,2042.6796466149026
RGB_X/absolute30/all,main,ball.location.y,0.2611892501864087,1927.3196777827286,2336.062047483686
RGB_X/absolute30/all,main,ball.location.z,0.11737880865693162,340.4255551125879,440.10187356859944
RGB_X/absolute30/all,main,ball.velocity.x,-0.0047816951650825334,677.6399183223781,853.2647468814229
RGB_X/absolute30/all,main,ball.velocity.y,-0.014449295449091126,1004.1493005694622,1228.4093432006282
RGB_X/absolute30/all,main,ball.velocity.z,-0.010737864290471189,396.12158676688335,538.7269609540979
RGB_X/absolute30/all,main,player0.location.x,0.08607120370164889,1691.4105559229688,2040.3153068674255
RGB_X/absolute30/all,main,player0.location.y,0.06018880339375399,2187.401900496981,2547.110623682042
RGB_X/absolute30/all,main,player0.location.z,-0.0032744661191990154,92.44124833131586,162.8134139237287
RGB_X/absolute30/all,main,player0.velocity.x,0.0320204028875839,716.3796381702414,875.8211637502682
RGB_X/absolute30/all,main,player0.velocity.y,0.008450514741328852,974.9494707393262,1132.9602245780377
RGB_X/absolute30/all,main,player0.velocity.z,0.010094535057329046,80.2009349108672,165.16898824183565
RGB_X/absolute30/all,main,player1.location.x,0.07439256113858028,1644.146173452897,2006.4632564037938
RGB_X/absolute30/all,main,player1.location.y,0.0982795393680348,2060.6766569770275,2456.3973199696247
RGB_X/absolute30/all,main,player1.location.z,0.004596130531315579,98.39520328137348,138.72862261611934
RGB_X/absolute30/all,main,player1.velocity.x,0.003273400858551545,687.3860117630717,839.3125754130076
RGB_X/absolute30/all,main,player1.velocity.y,-0.0032905444352868685,915.2778526045084,1076.4638867497395
RGB_X/absolute30/all,main,player1.velocity.z,-0.03672056069067797,115.43962369944248,212.72795695444972
RGB_X/absolute30/all,main,player2.location.x,0.05590732992133596,1686.188295719145,2067.82581322441
RGB_X/absolute30/all,main,player2.location.y,0.10293664107447043,2322.668410220783,2768.773921180338
RGB_X/absolute30/all,main,player2.location.z,0.017399175265136457,97.73180593257617,165.95089921559196
RGB_X/absolute30/all,main,player2.velocity.x,0.008956784147614028,744.3856936887673,884.2743175889076
RGB_X/absolute30/all,main,player2.velocity.y,-0.014910388139520503,949.9292449528717,1116.7151703429051
RGB_X/absolute30/all,main,player2.velocity.z,-0.022655646580567845,121.53798433905365,234.83021716140118
RGB_X/absolute30/all,main,player3.location.x,0.10531299971176489,1657.2858024918605,2014.0073134411923
RGB_X/absolute30/all,main,player3.location.y,0.08326569052809918,2242.8723917599473,2672.736768096519
RGB_X/absolute30/all,main,player3.location.z,0.0016461141437474902,87.89897341405776,173.61796273913833
RGB_X/absolute30/all,main,player3.velocity.x,-0.01946692904198377,749.3077739554702,895.340042085096
RGB_X/absolute30/all,main,player3.velocity.y,-0.07965572627017758,958.1365308334416,1121.5866442475203
RGB_X/absolute30/all,main,player3.velocity.z,-0.046147026658358126,100.09947267440394,186.8020344463401
RGB_X/absolute30/all,shuffled,ball.location.x,-0.022173191628720224,1953.6273328605216,2325.7140537401433
RGB_X/absolute30/all,shuffled,ball.location.y,-0.04259085096767046,2337.1497108552985,2775.0750039533573
RGB_X/absolute30/all,shuffled,ball.location.z,-0.006480002272807317,373.67990455974683,469.9683564622535
RGB_X/absolute30/all,shuffled,ball.velocity.x,-0.013842164400428514,676.8419174065638,857.1032069798856
RGB_X/absolute30/all,shuffled,ball.velocity.y,-0.002793190663826328,994.4224622822998,1221.3316922116849
RGB_X/absolute30/all,shuffled,ball.velocity.z,-0.007889392583430022,399.01223256759096,537.9673024627291
RGB_X/absolute30/all,shuffled,player0.location.x,0.004862781907913116,1787.6261840617751,2129.0339734019335
RGB_X/absolute30/all,shuffled,player0.location.y,-0.028113700241768624,2307.974974095515,2664.0849742312726
RGB_X/absolute30/all,shuffled,player0.location.z,-0.0017349418242784687,91.14692083911818,162.68844740351395
