layer,mean,std,rms,finite
0,0.003504608990624547,0.19251321256160736,0.1925450712442398,True
1,0.004421757068485022,0.21965757012367249,0.21970202028751373,True
2,0.005195941310375929,0.24127964675426483,0.24133554100990295,True
3,0.006579055450856686,0.2657002806663513,0.2657816708087921,True
4,0.008966300636529922,0.3124507963657379,0.31257936358451843,True
5,0.01158809382468462,0.36889880895614624,0.36908069252967834,True
6,0.015108340419828892,0.4276663362979889,0.4279330372810364,True
7,0.01775083690881729,0.5008437633514404,0.5011581182479858,True
8,0.020685944706201553,0.5817160606384277,0.5820835828781128,True
9,0.02337195724248886,0.6862956285476685,0.6866933107376099,True
10,0.023730555549263954,0.8031922578811646,0.8035425543785095,True
11,0.023160265758633614,0.931843638420105,0.9321312308311462,True
12,0.02232631854712963,1.162477970123291,1.1626920700073242,True
13,0.020542340353131294,1.4070624113082886,1.4072121381759644,True
14,0.016217879951000214,1.6976350545883179,1.6977121829986572,True
15,0.007794718723744154,1.8011096715927124,1.8011261224746704,True
