site,site_kind,confirmation_matches,chosen_on_original_selection,selected_alpha,shuffle_alpha,main_normalized_mse,main_normalized_mse_ci95_low,main_normalized_mse_ci95_high,shuffled_normalized_mse,shuffled_normalized_mse_ci95_low,shuffled_normalized_mse_ci95_high,paired_gain_vs_discovery_mean,paired_gain_vs_discovery_mean_ci95_low,paired_gain_vs_discovery_mean_ci95_high,paired_gain_vs_codec,paired_gain_vs_codec_ci95_low,paired_gain_vs_codec_ci95_high,paired_gain_vs_own_match_shuffled_control,paired_gain_vs_own_match_shuffled_control_ci95_low,paired_gain_vs_own_match_shuffled_control_ci95_high,discovery_mean_normalized_mse,discovery_mean_normalized_mse_ci95_low,discovery_mean_normalized_mse_ci95_high,paired_gain_convention
block_0_input,residual,11,False,10.0,1000.0,1.057696295995103,0.9951427929177362,1.1226493001093107,1.0602647368915064,0.9985642112404065,1.1207166035973437,0.0025377571852789153,-0.009787963980571985,0.013209782404491579,0.0003700789427110513,-0.0032266001786999204,0.0042604762269793026,0.002568440896403248,-0.009613664003359359,0.012939978958355308,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_0_output,residual,11,False,1.0,1000.0,0.9733535548971475,0.9054737075600087,1.044975517303709,1.0601592432972706,0.9982062143178069,1.120885073354234,0.08688049828323476,0.06594389602960647,0.10585372102045555,0.08471282004066692,0.06611791897238854,0.1007577050444005,0.08680568840012362,0.0671702588823134,0.10513062280720267,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_1_output,residual,11,False,1.0,1000.0,0.9424507565840337,0.8754284889415793,1.0157798812491983,1.060210013019802,0.9982113673561264,1.1209748684972787,0.11778329659634833,0.09511681038463322,0.13798852664246566,0.11561561835378048,0.0922895698190612,0.1363558351795618,0.11775925643576834,0.09694784753166148,0.1374323819702086,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_2_output,residual,11,False,1.0,1000.0,0.9170364609930324,0.8486431930497896,0.990389499188231,1.0600946667843862,0.9980715721350026,1.1208218567300499,0.1431975921873495,0.11957453509561158,0.16569164968388528,0.1410299139447816,0.1157368979274692,0.16372182798539217,0.14305820579135375,0.12078643777209092,0.16534100850342703,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_3_output,residual,11,False,1.0,1000.0,0.9143470517763184,0.8486068168526675,0.9856093495593495,1.0598876985652705,0.9978585003919306,1.1205662770690579,0.1458870014040637,0.12244244457336316,0.16720439346935095,0.14371932316149583,0.11905393314777728,0.16519445972056282,0.1455406467889523,0.12353172624293904,0.1668382877547403,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_4_output,residual,11,False,1.0,1000.0,0.9057201896269386,0.8447290999073445,0.9717875760886899,1.0597289315087015,0.9977557644502317,1.1203817940049337,0.15451386355344343,0.13335388499889708,0.17452607966979164,0.15234618531087554,0.12764791803666792,0.17160158723133667,0.15400874188176272,0.13401956283602734,0.17315810342361207,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_5_output,residual,11,True,1.0,1000.0,0.8469024106113751,0.7894325071432426,0.9055167973742213,1.0596224757790589,0.9976036753224274,1.1202318811310266,0.21333164256900697,0.19168219822129645,0.23520144630976692,0.2111639643264391,0.18603461907029983,0.23222843069389462,0.212720065167684,0.19216325776610027,0.23365665730642488,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_6_output,residual,11,False,1.0,1000.0,0.8612011467222999,0.8042679506409621,0.9216257460961169,1.0596687571095615,0.9977064099701061,1.1202613729060296,0.199032906458082,0.17828497845941474,0.21927754780788275,0.19686522821551414,0.17289401600703647,0.21724971581262445,0.1984676103872612,0.17872355754733454,0.2183915562455801,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_7_output,residual,11,False,1.0,1000.0,0.8739112056887955,0.8161347058659759,0.9363856512926211,1.0596561640179512,0.9977413966301691,1.1202022330142587,0.18632284749158667,0.1663989134614766,0.2051998573550349,0.18415516924901879,0.16103673578277017,0.2034066732324511,0.18574495832915572,0.16685736465922998,0.20420793979263407,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_8_output,residual,11,False,1.0,1000.0,0.8852217112129707,0.8262310056503797,0.9513078538355053,1.0596821784118957,0.9978577746913887,1.120272562962886,0.17501234196741125,0.15680554153547854,0.19198367931041657,0.1728446637248434,0.1505824831591501,0.1921863746375732,0.17446046719892463,0.15709717263437947,0.19094359108835957,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_9_output,residual,11,False,1.0,1000.0,0.8997301870229865,0.8381013209182356,0.9669915409865358,1.0596303962364126,0.9978822023423735,1.120198391084579,0.16050386615739576,0.14180805577301922,0.17738901461423529,0.1583361879148279,0.13754598584721342,0.17674602001452092,0.1599002092134265,0.14229395162687722,0.17599059604096906,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_10_output,residual,11,False,1.0,1000.0,0.9014874673192533,0.8400475533558993,0.9699262783246683,1.0596860424658519,0.9979421164723952,1.1202429213075973,0.15874658586112875,0.13696557741399734,0.1792795737463874,0.15657890761856091,0.13832214457284345,0.17483624007563842,0.1581985751465986,0.137405229172769,0.1778956281107203,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_11_output,residual,11,False,1.0,1000.0,0.8995984056240173,0.8387748774715772,0.9665912503757151,1.0597258284885063,0.9980277306177398,1.1203303049672637,0.16063564755636472,0.14087348784892184,0.180305908470741,0.15846796931379686,0.1406618531360934,0.17718320814135727,0.160127422864489,0.14118731110697424,0.17917796872791386,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_12_output,residual,11,False,1.0,1000.0,0.9033380603942719,0.843083199642257,0.9679278800495987,1.0598457997811093,0.998196543925364,1.12043464301072,0.15689599278611008,0.13684526323060292,0.17834143389366935,0.15472831454354224,0.13337545007701748,0.17519209965175675,0.15650773938683746,0.13716530466281743,0.17671280068435788,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_13_output,residual,11,False,1.0,1000.0,0.9101153403849768,0.8498674398796393,0.9753914984690396,1.0598831542575964,0.9981552723774837,1.1204017656138794,0.15011871279540515,0.12820610558492226,0.17045231395945742,0.1479510345528373,0.12617671969693817,0.167431389646114,0.14976781387261945,0.12842536576995014,0.16933449867673647,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_14_output,residual,11,False,1.0,1000.0,0.9162730803866131,0.8571671101087338,0.9810297705735923,1.0599352613802369,0.9980826806261904,1.1204971037935376,0.14396097279376896,0.12218685027171955,0.16367179295480086,0.14179329455120113,0.11780785034378052,0.16172296973176983,0.14366218099362393,0.12251313725147234,0.1625717231328943,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
block_15_output,residual,11,False,1.0,1000.0,0.91984089948883,0.8591354889614915,0.9854324066720674,1.0600495640262262,0.998193892358892,1.1207391795760913,0.14039315369155195,0.11903805301295976,0.1596311102512382,0.13822547544898411,0.11555844647673541,0.15783177242862703,0.14020866453739617,0.11911763891261322,0.15893089776178565,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
codec_X,baseline,11,False,0.1,1000.0,1.058066374937814,0.9935492766082455,1.1255663221217043,1.0602141692145426,0.9986153384423951,1.1211786428651613,0.0021676782425678626,-0.013792303547859906,0.01619839238274886,0.0,0.0,0.0,0.0021477942767286415,-0.01378487636873251,0.016150513208041554,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
RGB_X,baseline,11,False,0.1,1000.0,1.016118089946366,0.9566338810499139,1.0808081429960625,1.0601278293005136,0.9984839317791455,1.1209252918057986,0.04411596323401611,0.019531133166062958,0.06601582868557665,0.04194828499144825,0.02618663577275889,0.05868401771143395,0.044009739354147856,0.01937668175918068,0.0660375315758418,1.060234053180382,0.9986524870774169,1.121229424951952,baseline minus main model; positive means lower main error
