readout,kind,summary,site_index,temporal,feature_width,alpha,selection_matches,target_family,normalized_mse
mean/block_0_input,residual,mean,0,current,2048,1.0,11,role12/position,1.0632949095320239
mean/block_0_output,residual,mean,1,current,2048,0.001,11,role12/position,0.5917188213235975
mean/block_1_output,residual,mean,2,current,2048,0.01,11,role12/position,0.4548884246350727
mean/block_2_output,residual,mean,3,current,2048,0.01,11,role12/position,0.38042941073683284
mean/block_3_output,residual,mean,4,current,2048,0.01,11,role12/position,0.3345011239732371
mean/block_4_output,residual,mean,5,current,2048,0.01,11,role12/position,0.3099520547793961
mean/block_5_output,residual,mean,6,current,2048,0.01,11,role12/position,0.22396923617338096
mean/block_6_output,residual,mean,7,current,2048,0.01,11,role12/position,0.22618064652745296
mean/block_7_output,residual,mean,8,current,2048,0.01,11,role12/position,0.23451913033685548
mean/block_8_output,residual,mean,9,current,2048,0.1,11,role12/position,0.26071660843973965
mean/block_9_output,residual,mean,10,current,2048,0.1,11,role12/position,0.2799573483407562
mean/block_10_output,residual,mean,11,current,2048,0.1,11,role12/position,0.2867176756456044
mean/block_11_output,residual,mean,12,current,2048,0.1,11,role12/position,0.3005584352654167
mean/block_12_output,residual,mean,13,current,2048,0.1,11,role12/position,0.3239333799173956
mean/block_13_output,residual,mean,14,current,2048,0.1,11,role12/position,0.34468884869447775
mean/block_14_output,residual,mean,15,current,2048,0.1,11,role12/position,0.3618547764283904
mean/block_15_output,residual,mean,16,current,2048,0.1,11,role12/position,0.36717751882257116
spatial/block_0_input,residual,spatial,0,current,1536,1.0,11,role12/position,0.832156579733892
spatial/block_0_output,residual,spatial,1,current,1536,0.01,11,role12/position,0.67747759286499
spatial/block_1_output,residual,spatial,2,current,1536,0.01,11,role12/position,0.6470057966247303
spatial/block_2_output,residual,spatial,3,current,1536,0.1,11,role12/position,0.5987318330412802
spatial/block_3_output,residual,spatial,4,current,1536,0.1,11,role12/position,0.5622361742790294
spatial/block_4_output,residual,spatial,5,current,1536,0.1,11,role12/position,0.5270135731798845
spatial/block_5_output,residual,spatial,6,current,1536,0.1,11,role12/position,0.4744405595765328
spatial/block_6_output,residual,spatial,7,current,1536,0.1,11,role12/position,0.4896958255795309
spatial/block_7_output,residual,spatial,8,current,1536,0.1,11,role12/position,0.501979886787489
spatial/block_8_output,residual,spatial,9,current,1536,0.1,11,role12/position,0.5025172749615318
spatial/block_9_output,residual,spatial,10,current,1536,0.1,11,role12/position,0.5049276757368896
spatial/block_10_output,residual,spatial,11,current,1536,0.1,11,role12/position,0.49333543038374916
spatial/block_11_output,residual,spatial,12,current,1536,0.1,11,role12/position,0.4857491484268876
spatial/block_12_output,residual,spatial,13,current,1536,1.0,11,role12/position,0.5102834807342292
spatial/block_13_output,residual,spatial,14,current,1536,1.0,11,role12/position,0.5400046519573691
spatial/block_14_output,residual,spatial,15,current,1536,1.0,11,role12/position,0.5783097138601905
spatial/block_15_output,residual,spatial,16,current,1536,1.0,11,role12/position,0.5831952471537087
codec_mean_X,baseline,codec_mean_X,,current,32,0.001,11,role12/position,1.0645668303613771
codec_spatial_X,baseline,codec_spatial_X,,current,4608,1.0,11,role12/position,0.7323988317626245
RGB_X,baseline,RGB_X,,current,1536,1.0,11,role12/position,0.8798413476973251
