model,domain,target,mae,rmse,r2,normalized_mse
Frozen ridge,real_selection,ego.location.x,1743.9312582739683,2135.8475229742257,0.12139573194842623,1.0061583714599218
Frozen ridge,real_selection,ego.location.y,1890.2838446914532,2313.701988430738,0.3523316610422619,0.6368254032491397
Frozen ridge,real_selection,ego.location.z,78.88955069128538,146.41722866738337,0.39397455513923474,0.9861553201203898
Frozen ridge,real_selection,ego.velocity.x,641.8757342321708,794.2988190501148,0.09228054894525994,0.8101625510024516
Frozen ridge,real_selection,ego.velocity.y,808.6143840130711,987.433369637676,0.06806375498139305,0.8522402905421075
Frozen ridge,real_selection,ego.velocity.z,104.96992887811315,153.4734127595621,0.4919844600936747,0.5382502840909713
Frozen ridge,real_selection,ball_minus_ego.location.x,817.2634013627928,1199.5396414032023,0.4415984498293729,0.46336216964737126
Frozen ridge,real_selection,ball_minus_ego.location.y,1366.4013773317788,2063.4502572766673,0.4297368133421019,0.5958737496597304
Frozen ridge,real_selection,ball_minus_ego.location.z,282.24327788087345,392.8933504163553,0.37507090411495203,1.0104979497377329
Frozen ridge,real_selection,ball_minus_ego.velocity.x,667.1139209301716,877.890219252233,-0.03296598336576384,0.9159667336219965
Frozen ridge,real_selection,ball_minus_ego.velocity.y,879.4424025151288,1174.0998640356406,-0.0460605767801503,0.8402475787232717
Frozen ridge,real_selection,ball_minus_ego.velocity.z,351.0278596243876,486.1571154195982,0.11714843533951425,0.9065819633483565
Frozen ridge,codec_selection,ego.location.x,1765.1106515279994,2153.849206049424,0.10652293944044888,1.023190367812584
Frozen ridge,codec_selection,ego.location.y,1871.3221481928454,2291.7555734036227,0.3645601895458338,0.6248015985839886
Frozen ridge,codec_selection,ego.location.z,75.86835672042517,148.73885016852304,0.3746036620812808,1.0176766191129978
Frozen ridge,codec_selection,ego.velocity.x,637.5016865823675,789.4722408022187,0.10327859571734399,0.8003465163030051
Frozen ridge,codec_selection,ego.velocity.y,804.5876464580138,980.9888529578259,0.08018868427046388,0.8411522431404165
Frozen ridge,codec_selection,ego.velocity.z,107.10087545137529,155.00688230334862,0.48178180327597775,0.549060156032331
Frozen ridge,codec_selection,ball_minus_ego.location.x,817.7221225259224,1204.381413327466,0.4370815346550234,0.467110310415713
Frozen ridge,codec_selection,ball_minus_ego.location.y,1381.830697786448,2070.6005717774833,0.4257777879699445,0.6000105751618834
Frozen ridge,codec_selection,ball_minus_ego.location.z,285.70212210744916,394.27697077693097,0.3706616305582292,1.0176276576009764
Frozen ridge,codec_selection,ball_minus_ego.velocity.x,666.0430768458501,874.9093126826294,-0.025962949738354224,0.9097569010230153
Frozen ridge,codec_selection,ball_minus_ego.velocity.y,871.7588402942257,1169.4252756393068,-0.03774753902628469,0.8335701357533615
Frozen ridge,codec_selection,ball_minus_ego.velocity.z,355.0178749800137,486.5883428706926,0.11558153992633691,0.9081909757541804
Frozen MLP,real_selection,ego.location.x,1562.6997224634335,1995.3565580344027,0.23317927295929874,0.8781463468839912
Frozen MLP,real_selection,ego.location.y,1690.302140096372,2113.560930956089,0.4595352516693162,0.5314165805279576
Frozen MLP,real_selection,ego.location.z,71.63083826682787,132.5014960558215,0.503695677209008,0.8076115940484354
Frozen MLP,real_selection,ego.velocity.x,573.3129376397807,725.4395244688068,0.2428424877055113,0.6757822198791255
Frozen MLP,real_selection,ego.velocity.y,739.8723861556394,928.0806904912488,0.17673040397858264,0.7528663736679142
Frozen MLP,real_selection,ego.velocity.z,100.45521360702433,141.11342105528243,0.5705156554664566,0.4550452668187799
Frozen MLP,real_selection,ball_minus_ego.location.x,773.9207169183275,1090.7080672018055,0.5383270213412542,0.3830967130548192
Frozen MLP,real_selection,ball_minus_ego.location.y,1221.159653212536,1811.2570014458481,0.5606127170185302,0.4591201769240241
Frozen MLP,real_selection,ball_minus_ego.location.z,277.49292247132826,379.27591507098566,0.4176394898323126,0.9416653512291313
Frozen MLP,real_selection,ball_minus_ego.velocity.x,635.1119563024151,852.3272817749233,0.026315226341448783,0.8634000744359942
Frozen MLP,real_selection,ball_minus_ego.velocity.y,889.5913541846044,1178.2074396653431,-0.05339264310764591,0.8461370294919046
Frozen MLP,real_selection,ball_minus_ego.velocity.z,383.82588948992014,519.2070971547826,-0.006967928456388828,1.034034497238784
Frozen MLP,codec_selection,ego.location.x,1571.556965752081,1991.6546597836434,0.23602193187703602,0.8748909959838118
Frozen MLP,codec_selection,ego.location.y,1663.5007317079733,2095.4792709550607,0.4687431221151317,0.5223628632570844
Frozen MLP,codec_selection,ego.location.z,69.8037778599696,136.98915749463825,0.4695079455145701,0.8632436069540992
Frozen MLP,codec_selection,ego.velocity.x,563.7978345597247,714.5192578143193,0.2654663689410067,0.6555898339682025
Frozen MLP,codec_selection,ego.velocity.y,736.8502956988526,918.0292611584671,0.19446641664079523,0.7366470846271698
Frozen MLP,codec_selection,ego.velocity.z,101.60539986245038,142.71189618840418,0.5607305003931076,0.4654127890763169
Frozen MLP,codec_selection,ball_minus_ego.location.x,785.7355800582604,1095.7981995851978,0.5340078820544041,0.38668073928226976
Frozen MLP,codec_selection,ball_minus_ego.location.y,1229.9098387509582,1818.4505414023429,0.5571156687817632,0.46277427768516066
Frozen MLP,codec_selection,ball_minus_ego.location.z,280.80836086110634,384.15290366029524,0.4025664211609544,0.9660382031940221
Frozen MLP,codec_selection,ball_minus_ego.velocity.x,625.7233248080382,839.0935898007067,0.056316404238160755,0.836796988991965
Frozen MLP,codec_selection,ball_minus_ego.velocity.y,887.0126665736528,1171.087621940726,-0.04069996691919586,0.8359416447066892
Frozen MLP,codec_selection,ball_minus_ego.velocity.z,394.1572194145888,525.7824662046389,-0.032634418637048856,1.060390884090674
Last 2 blocks + MLP,real_selection,ego.location.x,1574.8279921683381,2011.8753484201889,0.2204302901149381,0.8927462035603585
Last 2 blocks + MLP,real_selection,ego.location.y,1666.3177591359072,2092.259221662633,0.47037459515488156,0.5207587034544602
Last 2 blocks + MLP,real_selection,ego.location.z,68.45079695365641,131.09096616316347,0.5142061384597494,0.7905084378293623
Last 2 blocks + MLP,real_selection,ego.velocity.x,547.8523402872327,700.0130381720894,0.29498871893491463,0.6292403903042637
Last 2 blocks + MLP,real_selection,ego.velocity.y,689.3818406213645,875.7947650187008,0.26687961952731776,0.6704264131407947
Last 2 blocks + MLP,real_selection,ego.velocity.z,97.15851505675398,140.80213947131185,0.5724083615221907,0.45303991565033047
Last 2 blocks + MLP,real_selection,ball_minus_ego.location.x,765.5648040703752,1058.2423636098831,0.5654020311666856,0.3606298420237627
Last 2 blocks + MLP,real_selection,ball_minus_ego.location.y,1167.464267672463,1778.809106555363,0.5762145743030728,0.442817639835975
Last 2 blocks + MLP,real_selection,ball_minus_ego.location.z,268.95794225009996,376.00369315363594,0.42764483087728267,0.9254869139471013
Last 2 blocks + MLP,real_selection,ball_minus_ego.velocity.x,632.0909642075951,849.6221695478293,0.03248597054036084,0.8579282614377819
Last 2 blocks + MLP,real_selection,ball_minus_ego.velocity.y,875.5907844210953,1164.9445342184415,-0.02981035774795826,0.827194572457071
Last 2 blocks + MLP,real_selection,ball_minus_ego.velocity.z,377.3782573984618,512.8972920161516,0.017358254596272937,1.009054443999991
Last 2 blocks + MLP,codec_selection,ego.location.x,1599.3035168539393,2024.4510808113494,0.2106540381421148,0.9039417537762259
Last 2 blocks + MLP,codec_selection,ego.location.y,1646.4813849072561,2078.0859272032526,0.47752582336362503,0.5137271972313378
Last 2 blocks + MLP,codec_selection,ego.location.z,67.80116052248263,136.69273060205194,0.4718012945280008,0.8595117529939511
Last 2 blocks + MLP,codec_selection,ego.velocity.x,544.2291154598563,693.1168457548079,0.30881116127978314,0.6169035110944682
Last 2 blocks + MLP,codec_selection,ego.velocity.y,691.4676820657703,868.5136428361611,0.27901887904798717,0.6593252619036944
Last 2 blocks + MLP,codec_selection,ego.velocity.z,98.12363208024975,142.78480797453412,0.5602815384462937,0.46588847116224086
Last 2 blocks + MLP,codec_selection,ball_minus_ego.location.x,765.0465939139779,1063.6229347147078,0.5609714204763886,0.36430636733657074
Last 2 blocks + MLP,codec_selection,ball_minus_ego.location.y,1189.3355962105775,1795.9188830458693,0.5680228624821635,0.4513772416410302
Last 2 blocks + MLP,codec_selection,ball_minus_ego.location.z,273.2732288431037,382.0314269447823,0.40914683070405233,0.9553978119665184
Last 2 blocks + MLP,codec_selection,ball_minus_ego.velocity.x,621.6765523051674,838.411369778793,0.057850293025770716,0.8354368365799859
Last 2 blocks + MLP,codec_selection,ball_minus_ego.velocity.y,869.7630664563884,1156.824329288164,-0.015503879729621639,0.8157029022881827
Last 2 blocks + MLP,codec_selection,ball_minus_ego.velocity.z,384.8650900305734,519.0572452189234,-0.006386756439774821,1.0334377037391838
